{52.52, 13.38}
{53.55, 10.}
{48.14, 11.58}
{50.95, 6.97}
{50.12, 8.68}
{48.79, 9.19}
{51.24, 6.79}
{51.47, 7.}
{51.51, 7.48}
{53.08, 8.81}
{51.05, 13.74}
{52.4, 9.73}
{51.35, 12.4}
{49.45, 11.05}
{51.43, 6.75}
{51.48, 7.2}
{51.26, 7.18}
{52.03, 8.53}
{50.73, 7.100}
{49.5, 8.47}
{49., 8.4}
{50.08, 8.23}
{51.96, 7.62}
{51.51, 7.11}
{48.36, 10.89}
{51.2, 6.42}
{50.77, 6.09}
{50.83, 12.92}
{52.27, 10.51}
{51.33, 6.55}
{51.48, 11.96}
{54.32, 10.12}
{52.13, 11.62}
{51.47, 6.86}
{47.99, 7.850}
{53.87, 10.66}
{50.99, 11.03}
{54.09, 12.1}
{50., 8.26}
{51.37, 7.46}
{51.32, 9.48}
{51.67, 7.8}
{49.25, 6.97}
{51.54, 7.21}
{51.43, 6.86}
{49.48, 8.44}
{52.28, 8.05}
{51.18, 7.060}
{51.04, 6.99}
{53.15, 8.21}
{52.4, 13.07}
{51.2, 6.69}
{49.42, 8.69}
{51.72, 8.74}
{49.87, 8.64}
{49.02, 12.11}
{49.80, 9.94}
{48.77, 11.43}
{51.53, 9.92}
{51.61, 7.19}
{49.14, 9.22}
{48.4, 9.97}
{52.43, 10.78}
{48.89, 8.69}
{51.53, 6.93}
{50.1, 8.77}
{53.55, 8.58}
{51.18, 7.19}
{49.48, 10.98}
{48.49, 9.21}
{51.45, 6.65}
{52.17, 10.33}
{50.35, 7.600}
{50.87, 8.01}
{50.98, 7.15}
{51.77, 14.33}
{49.6, 11.01}
{49.75, 6.63}
{52.16, 9.95}
{50.88, 12.08}
{50.93, 11.58}
{51.44, 7.34}
{49.45, 7.75}
{50.72, 12.5}
{51.39, 7.68}
{51.91, 8.37}
{53.63, 11.4}
{50.81, 6.49}
{51.30, 6.850}
{48.74, 9.32}
{51.68, 7.12}
{51.62, 7.520}
{50.14, 8.91}
{48.9, 9.19}
{51.35, 7.04}
{54.79, 9.42}
{48.53, 9.06}
{52.29, 8.9}
{53.54, 8.11}
{49.64, 8.35}
{48.07, 8.45}
{47.68, 9.17}
{50.80, 8.77}
{51.67, 6.97}
{51.23, 7.600}
{54.07, 9.98}
{51.83, 12.22}
{51.55, 7.310}
{52.29, 7.44}
{51.58, 6.98}
{51.26, 6.4}
{51.41, 8.06}
{53.06, 8.64}
{50.82, 7.16}
{50.58, 8.68}
{51.95, 8.88}
{51.84, 6.61}
{49.95, 11.58}
{52.42, 12.53}
{53.25, 10.4}
{53.66, 10.02}
{52.62, 10.06}
{51.58, 6.73}
{49.9, 10.9}
{49.99, 9.15}
{50.5, 12.14}
{51.54, 7.68}
{53.57, 13.27}
{51.67, 8.34}
{48.85, 10.09}
{50.43, 7.46}
{52.12, 8.67}
{50.99, 11.32}
{50.88, 6.69}
{51.1, 6.57}
{51.59, 7.21}
{50.55, 9.69}
{51.08, 6.84}
{52.42, 9.59}
{50.96, 6.64}
{52.34, 14.53}
{48.54, 12.14}
{47.73, 10.3}
{51.67, 6.62}
{48.81,9.79}
{48.71, 9.01}
{47.86, 12.15}
{50., 8.41}
{51.11,6.95}
{48.48, 7.95}
{50.79, 6.23}
{52.11, 9.35}
{54.32,13.09}
{47.66, 9.48}
{48.71, 9.66}
{51.44, 7.79}
{51.16, 14.98}
{51.41, 7.18}
{51.18, 6.93}
{50.78, 7.18}
{50.83, 6.270}
{50.89, 6.89}
{50.66, 6.79}
{48.76, 8.23}
{51.77, 7.88}
{52.09, 8.75}
{51.24, 6.73}
{52.17, 10.55}
{50.06, 10.22}
{49.36, 8.13}
{51., 6.8}
{54.09, 13.39}
{52.44, 7.060}
{48.83, 9.31}
{51.04, 7.57}
{50.56, 8.5}
{51.62, 7.63}
{51.27, 6.55}
{50.23, 8.62}
{53.87, 8.69}
{53.37, 7.21}
{48.4, 10.01}
{52.54, 7.310}
{52.45, 9.74}
{52.29, 7.71}
{50.81, 6.76}
{49.33, 8.43}
{48.58, 13.44}
{52.33, 10.23}
{51.45, 7.560}
{48.68, 10.14}
{52.21, 8.81}
{47.79, 9.6}
{50.91, 6.810}
{51.79, 6.12}
{49.36, 7.18}
{51.57, 8.11}
{50.77, 6.98}
{53.75, 9.65}
{50.32, 11.9}
{48.86, 8.2}
{47.63, 7.66}
{51.84, 7.3}
{51.22, 6.89}
{50.87, 6.09}
{49.55, 8.35}
{52.2, 8.35}
{51.85, 8.28}
{50.95, 10.70}
{52.2, 7.03}
{50.88, 6.15}
{48.7, 9.02}
{51.88, 12.64}
{48.22, 9.01}
{53.61, 9.46}
{51.6, 7.66}
{52.51, 9.46}
{48.80, 9.02}
{50.78, 7.28}
{47.77, 8.84}
{53.9, 11.46}
{52.2, 8.61}
{51.08, 6.32}
{48.89, 12.57}
{50.85, 6.9}
{49.45, 11.85}
{48.41, 11.73}
{48.82, 9.27}
{49.33, 7.33}
{49.85, 7.86}
{48.67, 9.23}
{52.38, 9.97}
{48.34, 7.86}
{50.98, 10.31}
{51.09, 6.88}
{49.56, 8.66}
{51.51,10.79}
{50.03, 8.87}
{49.14, 8.59}
{49.2,8.11}
{50.92, 13.34}
{48.49, 8.93}
{50.21, 8.58}
{51.92, 10.43}
{49.68,12.16}
{49.2, 7.600}
{51.32, 6.28}
{51.24, 6.61}
{48.96,9.13}
{52.49, 10.53}
{53.66, 9.8}
{52.04, 8.91}
{47.89,10.61}
{50.61, 10.68}
{52.84, 13.8}
{51.18, 14.43}
{52.43, 9.43}
{50.27, 10.95}
{53.39, 10.03}
{51.07, 6.09}
{52.2, 8.72}
{52.75, 13.23}
{50.71, 7.18}
{47.99, 10.18}
{51.85, 6.87}
{50.03,8.70}
{53.49, 7.48}
{48.63, 9.34}
{48.26, 11.43}
{49.26,6.86}
{49.30, 10.57}
{52.32, 9.79}
{48.65,9.44}
{51.25, 6.96}
{50.96, 13.93}
{51.06, 6.22}
{49.68,8.62}
{51.5, 6.520}
{49.28, 11.46}
{51.9,11.04}
{51.44, 14.24}
{48.81, 9.52}
{50.81, 7.21}
{51.02,13.66}
{52.55, 13.06}
{53.48, 9.68}
{48.95,8.4}
{49.33, 11.03}
{51.96, 7.98}
{52.09, 7.01}
{51.6, 6.68}
{49.28,7.11}
{49.33, 6.75}
{53.34, 9.86}
{50.09, 8.43}
{51.75, 7.17}
{50.16, 8.9}
{51.39, 7.76}
{50.82, 6.13}
{51.76, 8.03}
{51.01, 12.44}
{48.13, 11.36}
{51.22, 10.45}
{48.71, 9.13}
{52.61,11.84}
{53.07, 14.26}
{49.12, 9.73}
{51.95, 7.16}
{50.82,7.03}
{51.15, 7.21}
{51.67, 7.38}
{51.37, 6.41}
{51.31,13.28}
{52.22, 8.93}
{52., 8.79}
{52.18, 7.53}
{48.95, 9.43}
{49.26, 8.87}
{52.1, 7.62}
{52.68, 13.58}
{50.84, 6.98}
{50.06, 8.69}
{50., 8.67}
{53.09, 7.4}
{49.25, 7.37}
{47.99, 8.8}
{52.97, 10.56}
{48.59, 7.810}
{48.72, 9.26}
{52.7, 7.3}
{52.16, 7.33}
{51.36, 11.99}
{48.28, 8.85}
{52.31, 9.47}
{53.24, 7.46}
{51.68, 6.16}
{51.52, 6.33}
{52.16, 14.62}
{51.84, 10.79}
{50.39, 8.05}
{53.37, 10.21}
{49.98, 8.56}
{48.19, 11.25}
{50.93, 6.36}
{48.31, 11.89}
{51.19, 6.51}
{52.03,11.74}
{51.11, 13.63}
{52.30, 13.62}
{52.37, 14.06}
{50.02, 8.78}
{52.41, 9.6}
{53.94, 9.49}
{53.02, 8.74}
{49.14, 10.06}
{52.64, 9.22}
{49.55, 8.57}
{51.32, 7.33}
{52.2, 8.05}
{47.57, 7.79}
{51.78, 9.37}
{48.1, 9.78}
{51.55,6.600}
{51.55, 7.91}
{53.58, 9.72}
{52.94,12.81}
{51.35, 8.29}
{51.30, 7.34}
{49.71,7.32}
{50.97, 7.98}
{52.85, 8.04}
{49.6, 8.46}
{48.85,12.96}
{48.6, 8.86}
{51.80, 11.73}
{50.83, 7.22}
{50.19,8.74}
{53.80, 12.18}
{50.37, 8.73}
{52.41, 7.99}
{49.45, 6.63}
{53.04, 8.54}
{48.87, 9.19}
{53.23, 8.79}
{51.71,9.99}
{51.67, 7.63}
{51.64, 7.25}
{50.88, 9.70}
{52.73, 8.29}
{49.73, 11.06}
{47.74, 8.98}
{52.98, 8.84}
{53.68, 10.23}
{51.32, 6.44}
{51.48, 11.29}
{53.04, 9.01}
{51.77, 8.56}
{52.46, 10.01}
{51.64, 7.4}
{51.29, 7.28}
{51.21, 11.97}
{51.76, 11.97}
{51.85, 6.24}
{52.22, 9.55}
{50.44, 7.4}
{51.15, 6.26}
{47.59,7.600}
{48.81, 8.33}
{51.84, 8.14}
{48.71, 8.13}
{51.34,7.99}
{51.2, 7.}
{51.16, 11.8}
{53.45, 10.37}
{52.55, 9.70}
{48.36, 10.98}
{50.14, 8.14}
{51.78, 8.43}
{48.94, 8.95}
{51.39, 7.4}
{51.45, 6.58}
{54.31, 9.66}
{50.97, 6.11}
{50.9, 6.18}
{51.45, 8.36}
{49.33, 12.11}
{49.05, 8.70}
{51.06, 12.13}
{51.53, 13.99}
{51.17, 13.47}
{51.59, 6.24}
{48.74, 11.18}
{52.21, 9.08}
{51.25, 9.41}
{48.88, 9.4}
{50.65, 11.35}
{50.34, 8.75}
{51.22, 7.88}
{51.12, 8.06}
{51.74, 6.57}
{51.83, 9.87}
{51.1, 6.99}
{48.28, 10.89}
{51.53, 12.33}
{50.55, 7.13}
{53.52, 8.49}
{51.7, 7.46}
{48.63, 9.83}
{51.32, 6.96}
{50.12, 11.44}
{50.6, 6.65}
{47.69, 9.83}
{49.19, 9.22}
{48.06, 10.87}
{50.95, 7.3}
{53.78, 9.99}
{53.19, 8.}
{50.91, 7.19}
{50.14, 8.44}
{49.35, 8.69}
{52.93, 9.24}
{49.48, 7.16}
{51.4, 8.57}
{50.63, 6.95}
{52.39, 8.96}
{52.6, 12.33}
{50.13, 8.84}
{50.87, 12.74}
{50.69, 10.91}
{50.99, 7.48}
{52.58, 13.88}
{48.13, 7.850}
{48.82, 9.38}
{48.28, 11.58}
{49.52, 11.28}
{49.98, 8.83}
{52.30, 8.61}
{48.44, 8.68}
{47.5, 11.08}
{48.96, 8.84}
{51.92, 8.66}
{52.64, 13.21}
{51.36, 7.24}
{51.57, 14.38}
{51.16, 8.3}
{48.29, 9.72}
{49.30, 8.69}
{52.39, 8.62}
{51.76, 11.47}
{50.82, 12.54}
{53.52, 10.25}
{48.17, 8.62}
{51.04, 7.850}
{52.66, 8.25}
{50.85, 10.95}
{49.87, 8.56}
{49.65, 8.63}
{51.4, 7.43}
{49.46, 10.96}
{50.08, 8.48}
{50.94, 6.11}
{50.44, 8.66}
{52.23, 11.}
{53.61, 7.2}
{50.65, 7.22}
{50.72, 11.33}
{53.4, 8.14}
{48.97, 10.13}
{50.9, 14.81}
{49.25, 11.09}
{49.36, 9.15}
{51.42, 9.68}
{51., 6.57}
{52.34, 13.39}
{50.64, 7.01}
{48.63, 8.08}
{51.89, 8.51}
{51.67, 8.59}
{49.81, 8.6}
{51.14, 7.9}
{49.97, 7.88}
{52.92, 8.81}
{50.92, 8.1}
{47.56, 9.70}
{49.98, 8.06}
{50.27, 8.65}
{51.73, 10.26}
{52.87, 9.6}
{52.31, 13.25}
{52.28, 11.85}
{51.29, 8.87}
{48.21, 11.33}
{50.75,8.29}
{49.76, 9.51}
{51.78, 7.44}
{51.63, 12.3}
{51.97,8.23}
{48.83, 9.06}
{48.21, 12.39}
{50.09, 8.85}
{49.91,8.6}
{51.49, 9.15}
{54.54, 9.55}
{51.03, 11.51}
{52.35, 8.01}
{53.81,10.37}
{48.47, 8.41}
{50.74, 12.38}
{51.29,12.37}
{51.53, 11.55}
{48.53, 11.5}
{51.2,7.350}
{48.72, 8.74}
{51.13, 7.39}
{49.93,8.48}
{47.81, 9.63}
{50.36, 11.18}
{50.66,12.20}
{49.1, 8.49}
{47.87, 11.46}
{52.67,13.27}
{52.32, 9.64}
{52.33, 9.19}
{52.39, 12.93}
{54.47, 9.83}
{48.01,11.34}
{49.57, 10.88}
{52.79, 7.23}
{50.24, 8.26}
{50.58, 13.01}
{50.74, 7.01}
{49.25, 7.25}
{48.55, 8.73}
{49.21, 9.5}
{51.86, 11.58}
{52.47, 9.82}
{52.04, 6.83}
{51.11, 6.49}
{51.47, 7.76}
{52.32, 9.95}
{51.52, 10.27}
{48.88, 9.28}
{47.64, 8.2}
{51.77, 6.4}
{51.02, 7.37}
{53.33, 7.45}
{51.89, 10.56}
{49.49, 9.77}
{47.83, 10.02}
{52.19, 7.86}
{49.39, 8.58}
{51.79, 11.15}
{51.14,13.56}
{53.37, 13.06}
{53.12, 9.4}
{53.27,7.92}
{51.74, 14.63}
{48.32, 10.06}
{51.51, 14.64}
{51.13, 12.49}
{51.56, 8.56}
{48.24, 8.38}
{48.54, 9.29}
{52.99, 9.83}
{50.82, 12.38}
{48.39, 10.84}
{51.29, 7.05}
{48.08, 11.6}
{50.24, 8.74}
{50.2, 9.18}
{51.46, 8.86}
{51.12, 7.65}
{51.67, 6.45}
{50.94, 6.560}
{49.88, 8.93}
{50.84, 9.01}
{47.84, 11.15}
{50.62, 12.3}
{50.30, 9.11}
{49.36, 6.73}
{49.14, 8.91}
{48.11, 11.77}
{47.77, 9.16}
{51.99, 9.26}
{47.96, 8.49}
{51.9, 10.18}
{49.84, 8.5}
{52.07, 8.35}
{53.57, 7.78}
{51.37, 10.86}
{50.14, 8.5}
{50.82, 8.1}
{50.57, 10.41}
{53.52, 12.68}
{52.1, 13.17}
{50.16, 11.06}
{53.54, 7.95}
{50.21, 10.08}
{47.97, 12.6}
{52.05, 8.15}
{53.12, 7.99}
{49.22, 8.37}
{50.82,7.560}
{47.52, 10.29}
{52., 9.83}
{50.89,7.310}
{51.13, 13.11}
{50.52, 12.4}
{51.95,14.70}
{49.74, 10.15}
{52.27, 9.05}
{49.33, 8.55}
{50.69,8.31}
{48.47, 11.13}
{50.19, 8.91}
{52.86, 11.14}
{50.14,8.54}
{52.75, 13.45}
{54.49, 9.05}
{53.33,13.87}
{54.2, 9.08}
{51.99, 6.93}
{51.17,11.12}
{51.83, 9.45}
{49.24, 9.11}
{51.86,7.5}
{51.64, 8.51}
{53.02, 7.850}
{51.2, 10.05}
{50.99,7.39}
{49.37, 8.26}
{49.29, 6.88}
{53.47, 9.8}
{53.25, 8.19}
{48.1, 7.96}
{52.17, 8.61}
{48.71, 9.70}
{52.5, 9.85}
{51.05, 8.39}
{51.84, 8.01}
{49.51, 11.74}
{49.25, 8.5}
{51.04, 7.65}
{52.47, 10.19}
{52.41, 13.3}
{48.96, 8.31}
{51.94, 7.350}
{53.73, 9.89}
{48.43, 10.88}
{50.7, 6.65}
{48.42, 9.06}
{52.15, 8.55}
{51.05, 7.26}
{50.63, 7.11}
{48.54, 8.08}
{53.14, 7.43}
{50.02, 8.43}
{50.97, 7.73}
{49.35, 6.93}
{51.31, 7.66}
{50.06, 8.98}
{50.25, 8.86}
{52.01, 8.4}
{49.41, 6.91}
{53.24, 8.6}
{48.63, 10.24}
{52.32, 7.57}
{50.97, 7.87}
{52.17, 8.85}
{51.27, 7.76}
{50.76, 8.21}
{50.78, 7.45}
{53.92, 10.70}
{47.92, 9.75}
{48.07, 11.67}
{53.84, 9.96}
{48.46, 10.28}
{52.31, 11.4}
{52.18, 9.24}
{53.01, 11.75}
{50.89, 7.62}
{51.99, 7.770}
{51.24, 12.71}
{48.08, 11.38}
{49.39, 8.37}
{48.15, 11.35}
{51.74, 9.01}
{52.22, 7.19}
{48.36, 8.96}
{51.22, 6.270}
{47.66, 7.810}
{51.83, 6.7}
{48.24, 9.88}
{48.86, 10.49}
{48.75, 8.87}
{51.07, 8.79}
{53.47, 7.33}
{48.2, 11.36}
{53.43, 11.84}
{50.33, 7.22}
{53.49, 9.13}
{50.94, 9.21}
{53.13, 9.79}
{51.6, 7.76}
{51.1, 7.11}
{50.09, 9.06}
{49.22, 9.22}
{50.55,6.76}
{48.80, 9.06}
{49.47, 8.16}
{49.52, 9.33}
{49.35,7.25}
{52.42, 13.21}
{53.63, 10.69}
{49.27, 6.79}
{53.62,8.6}
{51.12, 13.91}
{50.9, 7.86}
{47.87,12.64}
{52.24, 9.84}
{48.32, 11.67}
{52.32, 9.74}
{51.11, 10.64}
{52.9,8.43}
{48.58, 10.5}
{51.63, 13.70}
{47.67, 9.59}
{51.41, 12.21}
{48.64, 12.5}
{51.5, 13.77}
{51.17, 7.96}
{50.07, 8.79}
{51.56, 12.99}
{49.31, 6.810}
{47.78, 10.62}
{51.87, 8.94}
{50.7, 6.91}
{48.84, 9.12}
{48.11, 11.73}
{50.31, 7.62}
{48.47, 9.22}
{52.2, 9.46}
{51.36, 9.47}
{50.59, 12.70}
{50.56,12.79}
{53.61, 9.81}
{53.14, 8.91}
{49.76, 8.11}
{47.81,7.62}
{48.73, 10.78}
{48.22, 11.46}
{49.31,7.060}
{48.17, 12.83}
{50.42, 9.}
{50.75, 6.47}
{50.54,8.74}
{51.28, 14.09}
{49.37, 7.04}
{48.98,8.55}
{51.14, 7.57}
{49.41, 6.96}
{51.13,9.12}
{50.24, 11.32}
{49.7, 6.58}
{53.69, 9.67}
{50.,12.08}
{49.99, 6.89}
{47.85, 12.06}
{47.87,12.}
{50.73, 10.45}
{48.02, 9.49}
{50.19,8.49}
{51.1, 14.67}
{48.26, 12.52}
{50.56, 7.25}
{49.04, 10.97}
{47.76,11.56}
{51.37, 12.73}
{48.05, 11.61}
{51.87, 13.96}
{49.05, 8.26}
{51.73, 9.18}
{51.5, 7.63}
{50.91, 7.55}
{49.83, 8.83}
{47.91, 11.43}
{47.73, 12.88}
{50.43, 7.57}
{52.04, 11.23}
{51.46, 12.62}
{54.14, 10.6}
{52.22, 13.45}
{48.96, 9.06}
{50.76, 9.26}
{49.45,6.850}
{51.21, 7.47}
{53.14, 7.62}
{48.48,11.93}
{49.23, 12.65}
{48.77, 8.93}
{50.65, 11.98}
{50.36,9.53}
{49.37, 7.13}
{51.97, 8.66}
{51.95, 7.01}
{53.13,13.49}
{51.38, 10.13}
{49.68, 9.01}
{49.44, 10.95}
{53.,10.08}
{48.12, 11.29}
{51.95, 9.09}
{50.85,12.46}
{49.54, 6.88}
{50.04, 8.11}
{51.1, 6.15}
{47.56, 7.94}
{50.18,12.13}
{47.86, 9.01}
{50.02, 8.35}
{49.52, 6.75}
{50.99, 13.86}
{52.61,12.88}
{51.39, 9.01}
{48.27, 10.82}
{52.61, 8.37}
{54.24,12.43}
{48.09, 9.21}
{50.92, 13.04}
{53.91,10.65}
{52.53, 13.69}
{50.81, 10.21}
{54.11, 10.81}
{48.23,10.1}
{49.12, 10.76}
{52.34, 8.74}
{52.2,8.62}
{50.55, 9.71}
{49.92, 9.08}
{50.77,6.83}
{48.64, 13.18}
{50.82, 8.96}
{50.61, 12.64}
{52.52, 8.2}
{50.81,12.71}
{53.64, 9.84}
{51.15, 7.34}
{50.99, 12.98}
{50.68, 9.76}
{50.57,7.23}
{52.85, 8.73}
{51.5, 9.38}
{50.99, 8.09}
{47.92, 7.7}
{51.89,8.24}
{52.25, 10.81}
{53.47, 8.65}
{50.24, 7.600}
{48.57,11.26}
{49.97, 8.95}
{52.27, 10.36}
{53.56, 10.21}
{53.34,8.55}
{51.24, 6.19}
{47.76, 11.38}
{48.91, 8.56}
{49.77,8.63}
{50.32, 11.11}
{52.02, 8.70}
{47.89, 11.92}
{53.07,8.2}
{48.51, 8.38}
{49.97, 8.35}
{49.98, 9.58}
{52.43,8.61}
{51.31, 13.1}
{51.29, 13.53}
{49.35, 11.15}
{47.84,12.99}
{53.94, 10.3}
{50.33, 10.21}
{50.18, 8.46}
{51.82, 8.64}
{51.62, 8.34}
{54.24, 10.28}
{51.30,6.310}
{51.34, 9.86}
{49.4, 6.7}
{49.38, 6.68}
{48.67,9.37}
{48.73, 9.53}
{52.48,13.78}
{53.16, 7.350}
{52.32,8.32}
{53.95, 10.73}
{51.36, 8.49}
{51.04, 7.11}
